seller_level,buying_review_rating,count,seller_country,seller_name,is_fiverr_choice,pos,buying_review_rating_count,is_pro,price_i,isPro,score
level_one_seller,5,24,NG,prestige9628,False,470,23,False,45,,4.9166665
level_one_seller,5,21,PK,market_expert43,False,471,21,False,195,,5
level_two_seller,5,62,IN,kamlesh55,False,472,37,False,150,,4.9166665
level_two_seller,4.9,959,PK,muzaffar_wp,False,473,110,False,90,,4.9124002
level_two_seller,5,63,PK,nomanabbasi12,False,474,9,False,100,,4.887097
top_rated_seller,4.8,544,PK,shahab01,False,475,52,True,225,,4.926966
level_two_seller,4.9,1499,PK,wordpress_play,False,476,1460,False,500,,4.883817
level_one_seller,4.8,14,BD,seo_likhon,False,477,13,False,90,,4.857143
level_two_seller,4.8,246,PK,fb_fatima,False,478,22,False,80,,4.8089433
top_rated_seller,5,562,LK,creativecolumn,False,479,215,False,45,,4.921941
LEVEL_TWO,5,337,PK,mr_moaz,False,624,417,,10,False,5
LEVEL_TWO,5,196,PK,danish_mirza,False,625,264,,20,False,5
LEVEL_TWO,4.9,301,PK,husnaintariq097,False,626,440,,30,False,4.9
LEVEL_TWO,4.9,13670,PK,aaliyaan,False,627,18342,,20,False,4.9
NO_LEVEL,5,7,PK,arfa_anjum,False,628,8,,30,False,5
LEVEL_TRS,5,454,LK,ruchihd,False,629,547,,50,False,5
LEVEL_TWO,5,166,PK,mariazara5088,False,630,183,,60,False,5
LEVEL_TRS,4.9,437,PK,ffawad,False,631,712,,55,False,4.9
LEVEL_TWO,4.9,87,PK,shazad_creative,False,632,92,,25,False,4.9
LEVEL_TWO,4.9,107,BD,naymur143,False,633,144,,20,False,4.9
LEVEL_TWO,4.8,54,PK,ahmd_webdesigns,False,634,84,,50,False,4.8
LEVEL_TWO,4.9,667,PK,xpertex9,False,635,936,,15,False,4.9
LEVEL_TWO,5,398,US,pantheondev,False,636,494,,75,False,5
LEVEL_TWO,5,85,BD,web_promise,False,637,96,,15,False,5
LEVEL_TWO,5,50,PK,mujtaba_5050,False,638,71,,25,False,5
LEVEL_TWO,4.7,103,US,techtitanstudio,False,639,144,,60,False,4.7
LEVEL_TWO,5,248,PK,abdulhaseeb615,False,640,282,,50,False,5
LEVEL_TWO,5,805,PK,wordpressdev518,False,641,1114,,10,False,5
LEVEL_TRS,5,358,PK,fawad_ramzan,False,642,378,,75,False,5
LEVEL_TRS,4.9,617,PK,aizaz2535,False,643,1051,,50,False,4.9
LEVEL_TRS,5,127,AU,dereksiu,False,644,197,,70,True,5
LEVEL_TWO,4.9,197,BD,wptech0,False,645,286,,80,False,4.9
LEVEL_TWO,5,244,PK,shoaib_sohail,False,646,331,,10,False,5
LEVEL_TWO,4.9,110,BD,wpdirector,False,647,133,,50,False,4.9
LEVEL_TWO,4.9,14,RO,rcernica,False,648,20,,10,False,4.9
LEVEL_TWO,4.9,224,PK,afroozalam5,False,649,256,,20,False,4.9
LEVEL_TWO,5,273,BD,mizanoorr,False,650,372,,20,False,5
LEVEL_TWO,5,656,PK,wahajmansoor,False,651,918,,45,False,5
LEVEL_TWO,4.9,103,GB,marnica,False,652,171,,115,False,4.9
LEVEL_TRS,4.9,243,IN,ajayceo1985,False,653,526,,280,False,4.9
LEVEL_TRS,5,434,PK,gramup,False,654,545,,90,False,5
LEVEL_TWO,5,723,BD,sjbkhan,False,655,990,,30,False,5
LEVEL_TWO,5,128,PK,md_zarak_khan,False,656,172,,20,True,5
LEVEL_TWO,4.9,442,PK,khalilurrehman1,False,657,600,,10,False,4.9
LEVEL_TWO,4.9,78,PK,zamangull,False,658,90,,60,False,4.9
LEVEL_TWO,4.9,85,BD,developerfuad1,False,659,94,,40,False,4.9
LEVEL_TWO,4.9,115,BD,dev_younus465,False,660,138,,15,False,4.9
LEVEL_TWO,4.8,42,PK,modifiertech,False,661,56,,80,False,4.8
LEVEL_TWO,4.9,1001,PK,muhammadumaid,False,662,1257,,15,False,4.9
LEVEL_TWO,4.9,1337,GB,jamedeveloper,False,663,2222,,25,False,4.9
LEVEL_TWO,5,275,PK,zohaibafzall,False,664,356,,20,False,5
LEVEL_TRS,4.9,1721,PK,moiz54,False,665,2340,,130,False,4.9
LEVEL_TWO,5,211,PK,mian_asif_fahim,False,666,234,,10,False,5
LEVEL_TWO,5,79,PK,danishkhan1995,False,667,83,,130,False,5
LEVEL_TWO,5,466,PK,smtaqimz,False,668,615,,20,False,5
LEVEL_TWO,5,19,MA,eladnan,False,669,22,,45,False,5
LEVEL_TWO,4.8,333,BD,pandascout,False,670,646,,85,False,4.8
LEVEL_TWO,4.9,331,BD,fxruhanahmed,False,671,423,,20,False,4.9
LEVEL_TWO,5,50,PK,mujtaba_5050,False,672,71,,25,False,5
LEVEL_TRS,5,523,PK,fatimakniazi,False,673,820,,90,False,5
LEVEL_TWO,4.9,107,BD,naymur143,False,674,144,,20,False,4.9
LEVEL_TWO,4.9,100,BD,wordpress_kaniz,False,675,108,,25,False,4.9
LEVEL_TRS,4.9,814,PK,bilaalshah,False,676,1149,,50,False,4.9
LEVEL_TWO,4.9,197,BD,wptech0,False,677,286,,80,False,4.9
LEVEL_TWO,5,244,PK,shoaib_sohail,False,678,331,,10,False,5
LEVEL_TRS,5,127,AU,dereksiu,False,679,197,,70,True,5
LEVEL_TRS,5,25,PK,hamzagraphics,False,680,36,,115,False,5
LEVEL_TWO,5,18,PK,waseem55,False,681,25,,45,False,5
LEVEL_TWO,5,805,PK,wordpressdev518,False,682,1114,,10,False,5
LEVEL_TRS,5,530,PK,procommerce,False,683,640,,100,True,5
LEVEL_TRS,4.9,1336,PK,ahmad_mujtaba,False,684,1755,,60,False,4.9
LEVEL_TRS,5,938,PK,wordpressi,False,685,1311,,50,False,5
LEVEL_TWO,5,23,IN,shabu121097,False,686,46,,5,False,5
