is_fiverr_choice,score,buying_review_rating_count,is_pro,buying_review_rating,seller_country,pos,count,seller_level,price_i,seller_name
False,4.9054728,77,False,4.9,PK,496,104,level_two_seller,80,mutaharhafeez9
False,4.9940896,100,False,5,UA,497,141,level_two_seller,80,andrewvikuk
False,4.8809524,98,False,4.9,PK,498,98,level_two_seller,100,zarry_expert
False,4.985507,6,False,4.9,PK,499,46,level_two_seller,100,muzammil_dev
False,4.875,3,False,5,NG,500,88,level_two_seller,85,mayodemola
False,4.9333334,18,False,4.8,PT,501,50,level_two_seller,80,dev_andresousa
False,4.9504952,61,False,4.9,BD,502,101,level_two_seller,500,shabnam30
False,4.9620595,184,False,5,PK,503,543,top_rated_seller,175,efficientmentor
False,4.9952383,104,True,5,BD,504,173,level_two_seller,375,devsayed
False,4.906103,21,False,5,BD,505,397,level_two_seller,85,ecom_geeky
False,4.8503404,42,False,4.9,PK,506,49,level_two_seller,50,hadia098
False,4.883875,15,False,4.9,BD,507,984,level_one_seller,80,arsrabon
False,4.9846153,105,False,5,BD,508,120,level_two_seller,90,coderboy77
False,4.950521,71,False,4.9,PK,509,174,level_two_seller,135,rgull_pro
False,5,29,False,5,PK,510,30,level_one_seller,150,arslanjabbar700
False,5,6,False,5,MA,511,6,,80,azilnabil
False,4.955729,128,False,5,PK,512,128,level_two_seller,110,buzycreatives
False,4.969697,30,False,5,PK,513,30,level_two_seller,80,backendev
False,4.8333335,63,False,4.8,PK,514,66,level_two_seller,80,zeesys
False,4.9872775,31,False,5,IN,515,139,level_two_seller,150,namn_gupta
False,4.8170733,62,False,4.9,NG,516,82,level_two_seller,80,olamidesam123
False,4.8641977,81,False,4.9,PK,517,129,level_two_seller,100,abdulfatah876
False,4.822222,13,False,4.8,GB,518,15,level_one_seller,205,tprashant
False,4.92,16,True,4.9,BA,519,50,level_two_seller,650,zlatkomarjanovi
False,4.9130435,189,False,4.9,PK,520,517,level_two_seller,100,webseowizard
False,4.926966,56,True,5,PK,521,544,top_rated_seller,275,shahab01
False,4.869919,124,False,4.8,PK,522,165,level_two_seller,50,developersland
False,4.875318,9,True,5,AE,523,639,top_rated_seller,495,saifsadi
False,4.929539,137,False,4.9,BD,524,176,level_two_seller,80,shakib_mahmud
